75,"(0.016666666666666607, 0.020689655172413834, -0.002873563218390829)",2005-11-25 09:15:00,2005-12-01 15:00:00
100,"(0.05862068965517242, 0.060919540229884994, -0.002873563218390829)",2005-11-25 09:15:00,2005-12-05 13:45:00
150,"(0.0798850574712644, 0.08218390804597697, -0.002873563218390829)",2005-11-25 09:15:00,2005-12-08 15:00:00
25,"(0.018619934282584794, 0.02957283680175249, -0.003285870755750264)",2005-12-05 09:30:00,2005-12-06 14:00:00
50,"(0.022453450164293454, 0.02957283680175249, -0.003285870755750264)",2005-12-05 09:30:00,2005-12-08 10:45:00
75,"(0.0657174151150055, 0.06736035049288058, -0.003285870755750264)",2005-12-05 09:30:00,2005-12-12 09:15:00
100,"(0.07831325301204828, 0.08324205914567351, -0.003285870755750264)",2005-12-05 09:30:00,2005-12-13 14:00:00
150,"(0.053121577217962734, 0.08817086527929896, -0.003285870755750264)",2005-12-05 09:30:00,2005-12-19 09:15:00
25,"(0.011819116135662888, 0.016443987667009274, -0.010791366906474864)",2005-12-12 09:30:00,2005-12-13 14:00:00
50,"(-0.016443987667009274, 0.02106885919835566, -0.017985611510791366)",2005-12-12 09:30:00,2005-12-15 10:45:00
75,"(-0.011819116135662888, 0.02106885919835566, -0.0364850976361768)",2005-12-12 09:30:00,2005-12-19 09:15:00
100,"(-0.0174717368961973, 0.02106885919835566, -0.0364850976361768)",2005-12-12 09:30:00,2005-12-20 14:00:00
150,"(0.010277492291880685, 0.02106885919835566, -0.0364850976361768)",2005-12-12 09:30:00,2005-12-26 09:15:00
25,"(-0.022286821705426396, 0.005813953488372103, -0.023255813953488413)",2006-01-17 09:30:00,2006-01-18 14:00:00
50,"(-0.025193798449612448, 0.005813953488372103, -0.03197674418604646)",2006-01-17 09:30:00,2006-01-20 10:45:00
75,"(-0.009689922480620172, 0.005813953488372103, -0.03536821705426352)",2006-01-17 09:30:00,2006-01-24 09:15:00
100,"(-0.0043604651162790775, 0.005813953488372103, -0.03536821705426352)",2006-01-17 09:30:00,2006-01-25 14:00:00
150,"(0.10416666666666674, 0.10562015503875966, -0.03536821705426352)",2006-01-17 09:30:00,2006-02-07 09:15:00
25,"(0.017735334242837686, 0.020918599363346946, -0.015461573442473897)",2006-02-08 09:30:00,2006-02-09 14:00:00
50,"(-0.013187812642109997, 0.031832651205093265, -0.015461573442473897)",2006-02-08 09:30:00,2006-02-13 10:45:00
75,"(-0.027739881764438423, 0.031832651205093265, -0.04502046384720326)",2006-02-08 09:30:00,2006-02-15 09:15:00
100,"(-0.06366530241018642, 0.031832651205093265, -0.06366530241018642)",2006-02-08 09:30:00,2006-02-16 14:00:00
150,"(-0.07139608913142337, 0.031832651205093265, -0.10595725329695316)",2006-02-08 09:30:00,2006-02-22 09:15:00
25,"(-0.031995937023869936, 0.006602336211274817, -0.04062976130015239)",2006-02-24 14:00:00,2006-02-28 10:15:00
50,"(-0.033011681056373754, 0.006602336211274817, -0.04062976130015239)",2006-02-24 14:00:00,2006-03-01 15:00:00
75,"(-0.006094464195022908, 0.006602336211274817, -0.04062976130015239)",2006-02-24 14:00:00,2006-03-03 13:45:00
100,"(-0.017775520568816705, 0.006602336211274817, -0.04062976130015239)",2006-02-24 14:00:00,2006-03-07 10:15:00
150,"(-0.017267648552564796, 0.006602336211274817, -0.04062976130015239)",2006-02-24 14:00:00,2006-03-10 13:45:00
25,"(0.0004972650422674363, 0.006464445549477782, -0.008950770760815518)",2006-03-20 09:15:00,2006-03-21 13:45:00
50,"(-0.007956240676280424, 0.006464445549477782, -0.01044256588761805)",2006-03-20 09:15:00,2006-03-23 10:15:00
75,"(0.010939830929885597, 0.026852312282446444, -0.01044256588761805)",2006-03-20 09:15:00,2006-03-24 15:00:00
100,"(0.014917951268025753, 0.026852312282446444, -0.01044256588761805)",2006-03-20 09:15:00,2006-03-28 13:45:00
150,"(0.011437095972153255, 0.026852312282446444, -0.01044256588761805)",2006-03-20 09:15:00,2006-03-31 15:00:00
25,"(0.0009794319294809117, 0.011263467189030374, -0.004897159647404559)",2006-03-23 14:45:00,2006-03-27 11:15:00
50,"(-0.01518119490695402, 0.011263467189030374, -0.016650342801175277)",2006-03-23 14:45:00,2006-03-29 09:45:00
75,"(-0.007835455435847183, 0.011263467189030374, -0.016650342801175277)",2006-03-23 14:45:00,2006-03-30 14:30:00
100,"(-0.023996082272282115, 0.011263467189030374, -0.03036238981390793)",2006-03-23 14:45:00,2006-04-03 11:15:00
150,"(-0.01762977473065619, 0.011263467189030374, -0.03036238981390793)",2006-03-23 14:45:00,2006-04-06 14:30:00
25,"(-0.004310344827586188, 0.015804597701149392, -0.010536398467432928)",2006-04-17 09:30:00,2006-04-18 14:00:00
50,"(0.02298850574712641, 0.027298850574712707, -0.011494252873563204)",2006-04-17 09:30:00,2006-04-20 10:45:00
75,"(0.0431034482758621, 0.04885057471264376, -0.011494252873563204)",2006-04-17 09:30:00,2006-04-24 09:15:00
100,"(0.03256704980842917, 0.04885057471264376, -0.011494252873563204)",2006-04-17 09:30:00,2006-04-25 14:00:00
150,"(0.05411877394636022, 0.05747126436781613, -0.011494252873563204)",2006-04-17 09:30:00,2006-05-08 09:15:00
25,"(0.025116279069767433, 0.035348837209302264, -0.0046511627906976605)",2006-04-28 14:00:00,2006-05-09 10:15:00
50,"(0.05581395348837215, 0.06511627906976747, -0.0046511627906976605)",2006-04-28 14:00:00,2006-05-10 15:00:00
75,"(0.11674418604651171, 0.15023255813953496, -0.0046511627906976605)",2006-04-28 14:00:00,2006-05-12 13:45:00
100,"(0.08511627906976749, 0.1548837209302325, -0.0046511627906976605)",2006-04-28 14:00:00,2006-05-16 10:15:00
150,"(0.018139534883720998, 0.1548837209302325, -0.0046511627906976605)",2006-04-28 14:00:00,2006-05-19 13:45:00
25,"(0.015280135823429575, 0.04966044142614612, -0.001697792869269965)",2006-05-11 09:30:00,2006-05-12 14:00:00
50,"(-0.009762308998302216, 0.053904923599320975, -0.009762308998302216)",2006-05-11 09:30:00,2006-05-16 10:45:00
75,"(-0.06324278438030562, 0.053904923599320975, -0.06324278438030562)",2006-05-11 09:30:00,2006-05-18 09:15:00
100,"(-0.0683361629881154, 0.053904923599320975, -0.08022071307300505)",2006-05-11 09:30:00,2006-05-19 14:00:00
150,"(-0.0882852292020373, 0.053904923599320975, -0.1082342954159593)",2006-05-11 09:30:00,2006-05-25 09:15:00
25,"(-0.05008143322475567, 0.0016286644951140072, -0.05008143322475567)",2006-05-15 09:30:00,2006-05-16 14:00:00
50,"(-0.10097719869706845, 0.0016286644951140072, -0.1013843648208469)",2006-05-15 09:30:00,2006-05-18 10:45:00
75,"(-0.1445439739413681, 0.0016286644951140072, -0.1445439739413681)",2006-05-15 09:30:00,2006-05-22 09:15:00
100,"(-0.1351791530944625, 0.0016286644951140072, -0.1445439739413681)",2006-05-15 09:30:00,2006-05-23 14:00:00
150,"(-0.10423452768729646, 0.0016286644951140072, -0.1445439739413681)",2006-05-15 09:30:00,2006-05-29 09:15:00
25,"(-0.05277525022747953, 0.0, -0.06642402183803453)",2006-06-07 09:45:00,2006-06-08 14:15:00
50,"(-0.07279344858962689, 0.0, -0.08325750682438582)",2006-06-07 09:45:00,2006-06-12 11:00:00
75,"(-0.11237488626023662, 0.0, -0.1137397634212921)",2006-06-07 09:45:00,2006-06-14 09:30:00
100,"(-0.09144676979071886, 0.0, -0.1137397634212921)",2006-06-07 09:45:00,2006-06-15 14:15:00
150,"(-0.100090991810737, 0.0, -0.12420382165605093)",2006-06-07 09:45:00,2006-06-21 09:30:00
25,"(-0.013048016701461385, 0.0010438413361169019, -0.01565762004175364)",2006-08-07 09:30:00,2006-08-08 14:00:00
50,"(-0.0031315240083507057, 0.0010438413361169019, -0.01565762004175364)",2006-08-07 09:30:00,2006-08-10 10:45:00
75,"(-0.012004175365344483, 0.0010438413361169019, -0.01565762004175364)",2006-08-07 09:30:00,2006-08-14 09:15:00
100,"(-0.02661795407098122, 0.0010438413361169019, -0.029227557411273475)",2006-08-07 09:30:00,2006-08-15 14:00:00
150,"(-0.035490605427975, 0.0010438413361169019, -0.044885177453027114)",2006-08-07 09:30:00,2006-08-21 09:15:00
25,"(0.01751592356687892, 0.02016985138004257, -0.0010615711252653925)",2006-08-28 09:30:00,2006-08-29 14:00:00
50,"(0.0058386411889597145, 0.02016985138004257, -0.0010615711252653925)",2006-08-28 09:30:00,2006-08-31 10:45:00
75,"(0.019108280254777066, 0.02866242038216571, -0.00424628450106157)",2006-08-28 09:30:00,2006-09-04 09:15:00
100,"(0.05307855626326963, 0.05467091295116777, -0.00424628450106157)",2006-08-28 09:30:00,2006-09-05 14:00:00
150,"(0.05467091295116777, 0.13163481953290868, -0.00424628450106157)",2006-08-28 09:30:00,2006-09-11 09:15:00
25,"(-0.010983263598326354, 0.0052301255230124966, -0.012552301255230103)",2006-08-29 09:45:00,2006-08-30 14:15:00
50,"(0.010983263598326465, 0.012029288702928964, -0.01882845188284521)",2006-08-29 09:45:00,2006-09-01 11:00:00
